0,676,-16004,3160,2 
1,636,-15992,3428,2 
2,560,-16128,3744,2 
3,600,-16388,3796,2 
4,584,-16316,3608,2 
5,596,-16536,3768,2 
6,612,-16648,3804,2 
7,636,-16516,3440,2 
8,704,-16704,3492,2 
9,528,-16492,3524,2 
10,688,-16716,3624,2 
11,624,-16824,4040,2 
12,720,-16924,3660,2 
13,684,-17208,4000,2 
14,936,-17340,3960,2 
15,1008,-17492,3896,2 
16,908,-17520,3952,2 
17,816,-17896,4256,2 
18,960,-17908,4180,2 
19,1012,-17628,4340,2 
20,968,-17344,4304,2 
21,948,-16940,4080,2 
22,1020,-16820,3904,2 
23,1232,-16624,4052,2 
24,932,-16648,3864,2 
25,1080,-16604,3920,2 
26,772,-16692,3952,2 
27,876,-16844,3788,2 
28,1024,-16792,3656,2 
29,840,-17008,3828,2 
30,1076,-17016,3868,2 
31,1040,-16944,4092,2 
32,796,-16896,3968,2 
33,992,-16800,3996,2 
34,1004,-16716,4312,2 
35,780,-16800,3956,2 
36,1064,-16408,4000,2 
37,1072,-16328,4000,2 
38,1196,-16276,3860,2 
39,1076,-16164,4144,2 
40,1148,-15900,4344,2 
41,908,-15800,3852,2 
42,1176,-15788,4148,2 
43,956,-15640,4160,2 
44,956,-15644,4100,2 
45,784,-15488,3800,2 
46,872,-15456,3380,2 
47,892,-15464,3116,2 
48,856,-15412,3036,2 
49,852,-15872,3212,2 
50,996,-15544,3580,2 
51,1016,-15312,3560,2 
52,800,-15244,3632,2 
53,856,-15340,3684,2 
54,868,-15232,3424,2 
55,936,-15352,3636,2 
56,980,-15696,3624,2 
57,968,-16040,3692,2 
58,984,-16364,3596,2 
59,928,-16504,3340,2 
60,960,-16656,3736,2 
61,916,-16668,3696,2 
62,912,-17012,3632,2 
63,944,-17152,4000,2 
64,960,-17608,3676,2 
65,720,-17608,3336,2 
66,772,-17580,3456,2 
67,784,-17444,3396,2 
68,716,-17544,3492,2 
69,848,-17416,3444,2 
70,804,-17652,3576,2 
71,824,-17248,3912,2 
72,776,-17244,4088,2 
73,1008,-16980,4428,2 
74,860,-17164,4208,2 
75,700,-17008,3600,2 
76,768,-17104,3468,2 
77,832,-17300,3336,2 
78,836,-17284,3176,2 
79,828,-17276,3228,2 
80,680,-17404,3188,2 
81,784,-17048,3552,2 
82,672,-16832,3572,2 
83,660,-16648,3844,2 
84,816,-16440,3856,2 
85,716,-16396,4060,2 
86,640,-16500,4280,2 
87,696,-16312,4092,2 
88,628,-16300,3888,2 
89,708,-16208,3588,2 
90,752,-16200,3444,2 
91,688,-16156,3560,2 
92,584,-16128,3336,2 
93,624,-16240,3568,2 
94,708,-16236,3828,2 
95,676,-16240,3912,2 
96,724,-16272,3720,2 
97,768,-16296,3740,2 
98,668,-16300,3436,2 
99,984,-16280,3328,2 
100,616,-16196,2852,2 
101,692,-16180,3092,2 
102,600,-16016,2904,2 
103,656,-15940,3388,2 
104,600,-15944,3724,2 
105,572,-16028,3960,2 
106,584,-15948,3920,2 
107,612,-16012,3956,2 
108,560,-16120,4072,2 
109,584,-16324,3880,2 
110,588,-16596,3684,2 
111,376,-16644,3648,2 
112,440,-16556,3652,2 
113,376,-16740,3448,2 
114,688,-16788,3496,2 
115,476,-16772,3476,2 
116,408,-16996,3512,2 
117,448,-16696,3516,2 
118,344,-16980,3816,2 
