0,6064,-8460,-9788,1 
1,6168,-8928,-8592,1 
2,5984,-9376,-6436,1 
3,6976,-10024,-4296,1 
4,7708,-10720,-2500,1 
5,7464,-11428,-352,1 
6,7624,-12700,888,1 
7,7920,-13812,2336,1 
8,7936,-13984,3904,1 
9,8408,-13972,5660,1 
10,8396,-14308,7120,1 
11,7852,-15060,7224,1 
12,7588,-15424,6272,1 
13,7652,-15548,4576,1 
14,6972,-15780,2364,1 
15,6348,-16104,-968,1 
16,5196,-16464,-4600,1 
17,4468,-16692,-7440,1 
18,4052,-16564,-11656,1 
19,3772,-16624,-14820,1 
20,3964,-16900,-17776,1 
21,3876,-17192,-20400,1 
22,4004,-17796,-21144,1 
23,4284,-18280,-21080,1 
24,4344,-18504,-19188,1 
25,4388,-18564,-16880,1 
26,4364,-18448,-12944,1 
27,4272,-18100,-9956,1 
28,4164,-17676,-6640,1 
29,4024,-17240,-3968,1 
30,3936,-15948,-2472,1 
31,3360,-14936,-1200,1 
32,3520,-13592,-1028,1 
33,3856,-12192,-1780,1 
34,4544,-10872,-3240,1 
35,5072,-9176,-4172,1 
36,5388,-8280,-4784,1 
37,5520,-7792,-5268,1 
38,5276,-8424,-5860,1 
39,5260,-8548,-5928,1 
40,5852,-8308,-5172,1 
41,6564,-8388,-4352,1 
42,6856,-8040,-2472,1 
43,6900,-7464,-604,1 
44,6896,-7628,924,1 
45,6184,-8556,1284,1 
46,5464,-10180,604,1 
47,4808,-11632,-1464,1 
48,5056,-12432,-4740,1 
49,4416,-13344,-8060,1 
50,4128,-14792,-11796,1 
51,4172,-15732,-15000,1 
52,4040,-16432,-17484,1 
53,3484,-16496,-18676,1 
54,2560,-16056,-18920,1 
55,1612,-15120,-18476,1 
56,816,-13900,-18052,1 
57,460,-12768,-17672,1 
58,160,-11792,-17396,1 
59,340,-10828,-17084,1 
60,864,-10700,-16572,1 
61,1436,-10856,-15596,1 
62,1924,-11508,-14772,1 
63,2268,-11988,-13420,1 
64,2336,-12484,-12036,1 
65,2692,-12968,-11032,1 
66,2540,-12948,-9912,1 
67,1752,-12620,-9496,1 
68,1668,-11544,-9416,1 
69,1968,-10536,-9184,1 
70,2332,-10108,-9040,1 
71,2668,-10236,-9048,1 
72,3288,-10332,-9056,1 
73,3536,-10736,-9444,1 
74,3832,-11528,-9632,1 
75,3492,-12116,-9952,1 
76,3388,-13132,-10660,1 
77,3552,-14016,-11440,1 
78,3276,-15084,-12456,1 
79,3384,-15840,-13640,1 
80,3460,-16172,-14320,1 
81,3528,-16608,-14496,1 
82,3256,-16132,-14456,1 
83,2152,-15240,-14080,1 
84,1520,-13972,-14084,1 
85,1160,-12016,-14148,1 
86,1040,-10460,-14240,1 
87,860,-8584,-14168,1 
88,972,-7356,-14312,1 
89,1368,-6080,-14148,1 
90,1892,-5856,-13684,1 
91,2784,-6172,-12800,1 
92,2972,-7696,-11728,1 
93,3004,-9444,-10440,1 
94,3312,-10940,-9404,1 
95,3640,-12164,-7180,1 
96,4116,-12948,-5772,1 
97,4728,-13952,-4412,1 
98,4848,-14052,-2992,1 
99,5056,-13868,-2872,1 
100,4728,-13636,-2764,1 
101,4412,-13228,-3424,1 
102,4124,-12256,-4380,1 
103,5064,-10684,-5700,1 
104,5324,-9684,-7768,1 
105,4220,-10172,-9332,1 
106,3652,-11192,-10700,1 
107,3672,-12352,-10856,1 
108,3824,-14568,-11100,1 
