0,2036,-96,18312,1 
1,2028,-64,18252,1 
2,1812,-108,18188,1 
3,2028,-204,18308,1 
4,2300,-144,18352,1 
5,2060,-84,18188,1 
6,2144,-28,18348,1 
7,2288,-116,18148,1 
8,2012,-104,18312,1 
9,2008,-100,18268,1 
10,1828,-52,18232,1 
11,2088,-212,18288,1 
12,2044,-92,18216,1 
13,2144,-180,18576,1 
14,1976,-16,18024,1 
15,1840,-8,18168,1 
16,2028,-108,18428,1 
17,2020,-56,18252,1 
18,2016,180,18300,1 
19,2016,-168,18352,1 
20,2048,-20,18108,1 
21,2052,-152,18288,1 
22,1840,-20,18376,1 
23,2140,192,18128,1 
24,2120,-160,18016,1 
25,1992,-216,18532,1 
26,1988,-88,18400,1 
27,2096,-52,18300,1 
28,2020,-180,18108,1 
29,2040,-204,18440,1 
30,2064,-92,18200,1 
31,2156,-28,18300,1 
32,2112,-104,18420,1 
33,2044,-148,18356,1 
34,1912,-248,18420,1 
35,2292,-64,18436,1 
36,2124,-48,18212,1 
37,1960,-108,17956,1 
38,2084,-72,18144,1 
39,2048,-44,18448,1 
40,1840,-56,18404,1 
41,2076,-240,18032,1 
42,2056,-136,18324,1 
43,2296,-144,18336,1 
44,1992,216,18344,1 
45,2036,-124,18192,1 
46,2112,-52,18352,1 
47,2032,-208,18180,1 
48,2296,-128,18288,1 
49,2296,-64,18336,1 
50,2052,-120,18212,1 
51,2264,-132,18412,1 
52,2060,-108,18296,1 
53,2000,-212,18344,1 
54,2080,-116,18344,1 
55,2108,-112,18180,1 
56,2080,-48,18220,1 
57,2100,-120,18344,1 
58,1840,-116,18280,1 
59,2124,-108,18212,1 
60,2108,-120,18212,1 
61,2084,-28,18376,1 
62,2016,-136,18360,1 
63,2124,-100,18416,1 
64,2096,-44,18256,1 
65,2024,-48,18192,1 
66,1828,-128,18264,1 
67,2068,-172,18244,1 
68,1996,-148,18400,1 
69,2228,-88,18484,1 
70,2188,-244,18244,1 
71,2176,-120,18000,1 
72,2216,-192,18768,1 
73,2004,-68,18204,1 
74,2228,-116,18104,1 
75,2136,-64,18020,1 
76,1988,-96,18512,1 
77,2092,-192,18392,1 
78,2072,-32,18232,1 
79,2180,-52,18236,1 
80,2288,-108,18232,1 
81,2124,-56,18404,1 
82,2088,-48,18168,1 
83,2100,-24,17972,1 
84,1900,-148,18264,1 
85,2132,-100,18592,1 
86,2296,-32,17772,1 
87,1828,-32,18096,1 
88,1976,-240,18908,1 
89,2172,-72,18412,1 
90,2128,-220,18096,1 
91,2276,-232,18156,1 
92,2056,-172,18480,1 
93,2152,-44,18424,1 
94,2148,-12,18168,1 
95,2148,-104,18176,1 
96,2116,-160,18392,1 
97,2000,116,18116,1 
98,2160,40,18320,1 
99,2292,-132,17920,1 
100,2100,-120,18292,1 
101,2156,-80,18240,1 
102,2148,-20,18052,1 
103,2100,-56,18328,1 
104,2020,-208,18328,1 
105,2092,-36,18240,1 
106,2072,-64,17952,1 
107,1796,-104,18228,1 
108,2064,-40,18528,1 
109,2136,-156,18076,1 
110,2284,-256,18200,1 
111,2084,-52,18232,1 
112,2072,-96,18192,1 
113,2064,-188,18308,1 
114,2032,-232,18388,1 
115,2244,-36,18316,1 
116,1800,-68,17916,1 
117,2012,-132,18332,1 
118,2136,-144,18272,1 
119,2192,-188,18180,1 
120,2132,-92,18108,1 
121,2108,-300,18384,1 
122,2088,-108,18356,1 
123,2004,-40,18320,1 
124,1848,-136,18204,1 
125,1980,-200,18396,1 
126,2052,-36,18212,1 
127,1972,-36,18176,1 
128,1960,-24,18232,1 
129,2252,-148,17996,1 
130,1996,-4,18280,1 
131,2116,-112,18268,1 
132,2180,-172,18400,1 
133,2052,-56,18184,1 
134,2196,-132,18296,1 
135,2276,-136,18364,1 
136,2112,-112,18332,1 
137,2068,-112,18368,1 
138,1828,-76,18344,1 
139,2048,-40,18276,1 
140,2120,-168,18404,1 
141,2288,-180,18368,1 
142,2272,-188,18392,1 
143,2132,-132,18280,1 
144,2092,-108,18308,1 
145,1992,-188,18256,1 
146,1996,-124,18188,1 
147,1828,-124,17924,1 
148,2040,-20,18164,1 
149,2140,-32,18224,1 
150,2076,-128,18200,1 
151,2072,-96,18312,1 
152,2044,-184,18224,1 
153,2108,-124,18372,1 
154,1988,-116,18260,1 
155,2060,-136,17980,1 
156,2264,-92,18288,1 
157,2048,-64,18480,1 
158,1920,-132,18428,1 
159,1844,-24,18168,1 
160,2104,-52,18228,1 
161,2052,-76,18376,1 
162,2136,200,17976,1 
163,2092,-24,18568,1 
164,1864,-224,18284,1 
165,2212,-68,17980,1 
166,2140,-156,18056,1 
167,2000,-28,18472,1 
168,2056,-32,18188,1 
169,2044,-84,18544,1 
170,2108,-52,18172,1 
171,2120,-68,18408,1 
172,1956,-224,18088,1 
173,2152,-96,18212,1 
174,2072,-208,17948,1 
175,1804,-80,18396,1 
176,2096,-148,18260,1 
177,2100,-116,18192,1 
178,2292,-8,18252,1 
179,2264,-156,18296,1 
180,2116,-28,18312,1 
181,2084,-96,18480,1 
182,2228,-112,18272,1 
183,2080,-144,18332,1 
184,2256,-60,18616,1 
185,2056,-48,18236,1 
186,2148,-64,18416,1 
187,2068,-172,18792,1 
188,2104,-68,18380,1 
189,2108,-88,18200,1 
190,1796,-104,18396,1 
191,2040,-160,18572,1 
192,2100,-52,18196,1 
193,2084,-108,18100,1 
194,2096,-180,18208,1 
195,1996,-112,18824,1 
196,1840,-76,18080,1 
197,2052,-116,17888,1 
198,2016,-172,18520,1 
199,1808,-12,18596,1 
200,1852,-40,18108,1 
201,2088,-72,18216,1 
202,2248,-60,18036,1 
203,1976,-92,18304,1 
204,2160,-92,18360,1 
205,1828,-120,18336,1 
206,1804,-8,18272,1 
207,1828,-116,18012,1 
208,2064,-160,18276,1 
209,2220,228,18396,1 
210,2084,-148,18244,1 
211,2100,-148,18128,1 
212,2112,-52,17992,1 
213,2068,-184,18452,1 
214,2028,-232,18184,1 
215,1848,-112,18244,1 
216,2068,-32,18168,1 
217,2124,-64,18360,1 
218,2128,-184,18252,1 
219,2124,-68,18280,1 
220,2044,-144,18232,1 
221,2032,-164,18412,1 
222,1824,-116,18192,1 
223,2140,-76,18264,1 
224,2076,-104,18020,1 
225,2176,124,18664,1 
226,2176,-12,18388,1 
227,2132,-164,17944,1 
228,2300,-36,18388,1 
229,2132,-148,18360,1 
230,2104,-156,18332,1 
231,2040,-92,18280,1 
232,1968,-168,18196,1 
233,2048,-92,18264,1 
234,2084,-116,18264,1 
235,2164,-64,18280,1 
236,2072,-60,18232,1 
237,2128,-136,18284,1 
238,1840,-256,18184,1 
239,2068,-72,18424,1 
240,2044,-64,18296,1 
241,2160,-88,18416,1 
242,2052,-132,18336,1 
243,2068,-144,18264,1 
244,2172,-72,17960,1 
245,2084,-20,18356,1 
246,2112,-132,18224,1 
247,2144,-40,18316,1 
248,2056,-76,18240,1 
249,2072,-68,18140,1 
250,2300,-92,18260,1 
251,2132,-116,18128,1 
252,2016,-76,18180,1 
253,2296,-56,18396,1 
254,2072,-80,18148,1 
255,2256,-48,18344,1 
256,1812,-104,18304,1 
257,1864,-84,18340,1 
258,2136,-48,18356,1 
259,2084,-64,18232,1 
260,2152,-36,18512,1 
261,2044,-92,18200,1 
262,2160,-160,18036,1 
263,2108,-124,18284,1 
264,2072,-192,18336,1 
265,2044,-44,18208,1 
266,2096,-16,18296,1 
267,2116,-176,18188,1 
268,2136,-168,18388,1 
269,2080,-108,18240,1 
270,2068,-164,18100,1 
271,2092,-12,18228,1 
272,2100,-48,18396,1 
273,2276,-56,18272,1 
274,2084,-104,18304,1 
275,2080,-32,18340,1 
276,2032,-68,18216,1 
277,2144,-52,18300,1 
278,2116,-48,18088,1 
279,2204,-64,18056,1 
280,2128,-124,18208,1 
281,2120,-104,18372,1 
282,2156,-52,18232,1 
283,2100,-28,18044,1 
284,1840,-80,18208,1 
285,1840,-488,18496,1 
286,2184,-56,18176,1 
287,2084,-204,18024,1 
288,2152,-148,18408,1 
289,2288,-148,18460,1 
290,2152,-120,18204,1 
291,2208,-48,18076,1 
292,2132,-96,18252,1 
293,2120,-156,18404,1 
294,2180,-240,18164,1 
295,2144,-80,18248,1 
296,2140,-108,18396,1 
297,2088,-160,18412,1 
298,2116,-40,18172,1 
299,2136,-100,18224,1 
300,2220,-80,18332,1 
301,2076,-176,18136,1 
302,2036,-72,18368,1 
303,2056,-104,18376,1 
304,2116,-68,18312,1 
305,2184,-92,17992,1 
306,2056,-80,18152,1 
307,1824,-80,18732,1 
308,2108,-108,18344,1 
309,2268,-20,18040,1 
310,2100,-44,18424,1 
311,2144,-84,18200,1 
312,2088,-76,18376,1 
313,2160,-104,18280,1 
314,2292,-48,18140,1 
315,2288,-124,18236,1 
316,2032,-176,18332,1 
317,2128,-132,18208,1 
318,2064,-124,18132,1 
319,2080,-128,18284,1 
320,1792,-132,18404,1 
321,2100,-20,18040,1 
322,2292,-52,18100,1 
323,1968,-100,18296,1 
324,2080,-44,18292,1 
325,2076,-220,18304,1 
326,2124,-48,18364,1 
327,2184,-80,18204,1 
328,1840,-64,18420,1 
329,2048,-76,17920,1 
330,2088,-188,18364,1 
331,1848,-124,18416,1 
332,2048,-224,18196,1 
333,2048,-92,18100,1 
334,2160,-84,18300,1 
335,2064,-40,18320,1 
336,2296,-68,18344,1 
337,2120,-32,18368,1 
338,2012,-52,18112,1 
339,1896,-192,18292,1 
340,1976,-44,18576,1 
341,2176,-28,18632,1 
342,1832,-40,17956,1 
343,2112,-92,18084,1 
344,2168,-188,18444,1 
345,2184,-48,18260,1 
346,1856,-16,18124,1 
347,1796,-104,18148,1 
348,2040,-160,18660,1 
349,2116,20,18428,1 
350,2080,-52,18292,1 
351,2060,-52,18236,1 
352,1856,-148,18300,1 
353,1820,-68,18176,1 
354,2064,-52,18576,1 
355,2212,-96,18276,1 
356,1844,-104,17996,1 
357,1792,-156,18412,1 
358,2088,-236,18396,1 
359,2024,-100,18392,1 
360,2072,8,18180,1 
361,2128,-56,17980,1 
362,2064,-64,17984,1 
363,2100,-124,18468,1 
364,2152,-32,18276,1 
365,2076,-144,17956,1 
366,2116,-32,18280,1 
367,2088,-176,18596,1 
368,2100,-96,18208,1 
369,2060,148,18124,1 
370,2200,-180,18264,1 
371,2116,-132,18572,1 
372,2088,-144,18316,1 
373,2048,-160,18224,1 
